date,rate
2025-01-01,1346.00
2025-01-02,1347.71
2025-01-03,1349.10
2025-01-04,1350.19
2025-01-05,1350.98
2025-01-06,1351.50
2025-01-07,1351.79
2025-01-08,1351.88
2025-01-09,1351.83
2025-01-10,1351.69
2025-01-11,1351.50
2025-01-12,1351.32
2025-01-13,1351.18
2025-01-14,1351.10
2025-01-15,1351.12
2025-01-16,1351.24
2025-01-17,1351.45
2025-01-18,1351.73
2025-01-19,1352.07
2025-01-20,1352.42
2025-01-21,1352.74
2025-01-22,1352.98
2025-01-23,1353.09
2025-01-24,1353.02
2025-01-25,1352.73
2025-01-26,1352.17
2025-01-27,1351.33
2025-01-28,1350.18
2025-01-29,1348.72
2025-01-30,1346.95
2025-01-31,1344.92
2025-02-01,1342.64
2025-02-02,1340.18
2025-02-03,1337.60
2025-02-04,1334.98
2025-02-05,1332.38
2025-02-06,1329.90
2025-02-07,1327.61
2025-02-08,1325.58
2025-02-09,1323.90
2025-02-10,1322.61
2025-02-11,1321.77
2025-02-12,1321.40
2025-02-13,1321.53
2025-02-14,1322.14
2025-02-15,1323.22
2025-02-16,1324.74
2025-02-17,1326.65
2025-02-18,1328.89
2025-02-19,1331.38
2025-02-20,1334.05
2025-02-21,1336.82
2025-02-22,1339.60
2025-02-23,1342.32
2025-02-24,1344.91
2025-02-25,1347.31
2025-02-26,1349.46
2025-02-27,1351.33
2025-02-28,1352.90
2025-03-01,1354.16
2025-03-02,1355.11
2025-03-03,1355.77
2025-03-04,1356.18
2025-03-05,1356.37
2025-03-06,1356.39
2025-03-07,1356.30
2025-03-08,1356.13
2025-03-09,1355.94
2025-03-10,1355.77
2025-03-11,1355.66
2025-03-12,1355.62
2025-03-13,1355.68
2025-03-14,1355.84
2025-03-15,1356.09
2025-03-16,1356.40
2025-03-17,1356.75
2025-03-18,1357.09
2025-03-19,1357.38
2025-03-20,1357.57
2025-03-21,1357.60
2025-03-22,1357.44
2025-03-23,1357.04
2025-03-24,1356.35
2025-03-25,1355.37
2025-03-26,1354.08
2025-03-27,1352.48
2025-03-28,1350.59
2025-03-29,1348.44
2025-03-30,1346.07
2025-03-31,1343.55
2025-04-01,1340.94
2025-04-02,1338.32
2025-04-03,1335.77
2025-04-04,1333.36
2025-04-05,1331.18
2025-04-06,1329.30
2025-04-07,1327.79
2025-04-08,1326.70
2025-04-09,1326.07
2025-04-10,1325.92
2025-04-11,1326.27
2025-04-12,1327.10
2025-04-13,1328.38
2025-04-14,1330.08
2025-04-15,1332.15
2025-04-16,1334.51
2025-04-17,1337.09
2025-04-18,1339.82
2025-04-19,1342.60
2025-04-20,1345.36
2025-04-21,1348.04
2025-04-22,1350.55
2025-04-23,1352.84
2025-04-24,1354.87
2025-04-25,1356.60
2025-04-26,1358.03
2025-04-27,1359.15
2025-04-28,1359.96
2025-04-29,1360.51
2025-04-30,1360.81
2025-05-01,1360.92
2025-05-02,1360.89
2025-05-03,1360.75
2025-05-04,1360.57
2025-05-05,1360.38
2025-05-06,1360.23
2025-05-07,1360.15
2025-05-08,1360.16
2025-05-09,1360.27
2025-05-10,1360.47
2025-05-11,1360.75
2025-05-12,1361.08
2025-05-13,1361.43
2025-05-14,1361.75
2025-05-15,1362.00
2025-05-16,1362.13
2025-05-17,1362.08
2025-05-18,1361.81
2025-05-19,1361.29
2025-05-20,1360.47
2025-05-21,1359.35
2025-05-22,1357.92
2025-05-23,1356.19
2025-05-24,1354.17
2025-05-25,1351.92
2025-05-26,1349.48
2025-05-27,1346.91
2025-05-28,1344.28
2025-05-29,1341.68
2025-05-30,1339.18
2025-05-31,1336.87
2025-06-01,1334.81
2025-06-02,1333.09
2025-06-03,1331.77
2025-06-04,1330.88
2025-06-05,1330.46
2025-06-06,1330.54
2025-06-07,1331.11
2025-06-08,1332.15
2025-06-09,1333.63
2025-06-10,1335.50
2025-06-11,1337.71
2025-06-12,1340.18
2025-06-13,1342.83
2025-06-14,1345.59
2025-06-15,1348.38
2025-06-16,1351.11
2025-06-17,1353.72
2025-06-18,1356.13
2025-06-19,1358.31
2025-06-20,1360.21
2025-06-21,1361.81
2025-06-22,1363.09
2025-06-23,1364.07
2025-06-24,1364.77
2025-06-25,1365.20
2025-06-26,1365.41
2025-06-27,1365.45
2025-06-28,1365.36
2025-06-29,1365.20
2025-06-30,1365.01
2025-07-01,1364.83
2025-07-02,1364.71
2025-07-03,1364.67
2025-07-04,1364.72
2025-07-05,1364.87
2025-07-06,1365.11
2025-07-07,1365.42
2025-07-08,1365.76
2025-07-09,1366.11
2025-07-10,1366.40
2025-07-11,1366.60
2025-07-12,1366.66
2025-07-13,1366.51
2025-07-14,1366.13
2025-07-15,1365.48
2025-07-16,1364.53
2025-07-17,1363.27
2025-07-18,1361.70
2025-07-19,1359.83
